Time,Signal1,Signal2,Replicate,Expression
0,0,0,1,0.0389194694036214
0,0,0,2,0.0388972244589953
0,0,0,3,0.0388671960005307
0,0,0,4,0.0380714582004887
0,0,0,5,0.0383270795995728
0,0,0.01,1,0.0409553908799431
0,0,0.01,2,0.042294095986172
0,0,0.01,3,0.04149225847496
0,0,0.01,4,0.0415565532070473
0,0,0.01,5,0.0413041613599348
0,0,0.02,1,0.0414405848032065
0,0,0.02,2,0.043636455255039
0,0,0.02,3,0.0403148680180847
0,0,0.02,4,0.0423458618070766
0,0,0.02,5,0.0431553457164559
0,0,0.05,1,0.0484404319264179
0,0,0.05,2,0.0487282242863238
0,0,0.05,3,0.0472623923777438
0,0,0.05,4,0.0471686334684299
0,0,0.05,5,0.0482528603383823
0,0,0.1,1,0.0565108154737446
0,0,0.1,2,0.0556294350852801
0,0,0.1,3,0.0560155988184446
0,0,0.1,4,0.0571279641313716
0,0,0.1,5,0.0546357356583736
0,0,0.2,1,0.0700545924407405
0,0,0.2,2,0.073772197196376
0,0,0.2,3,0.0723016372914349
0,0,0.2,4,0.075820476253215
0,0,0.2,5,0.0729045663826466
0,0,0.5,1,0.107720649631002
0,0,0.5,2,0.10463547601241
0,0,0.5,3,0.109522433016827
0,0,0.5,4,0.105973591937375
0,0,0.5,5,0.102657187413632
0,0,1,1,0.136234462348398
0,0,1,2,0.139258097051246
0,0,1,3,0.141580726725703
0,0,1,4,0.13433775874775
0,0,1,5,0.138599408615078
0,0,2,1,0.174301033418143
0,0,2,2,0.1779990684911
0,0,2,3,0.174942286521567
0,0,2,4,0.170410317699774
0,0,2,5,0.176118813010425
0,0,5,1,0.220440151695658
0,0,5,2,0.209886024713776
0,0,5,3,0.211603061136986
0,0,5,4,0.215090728546068
0,0,5,5,0.20667232944727
0,0.01,0,1,0.0918768054615133
0,0.01,0,2,0.0982219114882651
0,0.01,0,3,0.0955532694538892
0,0.01,0,4,0.100244257960855
0,0.01,0,5,0.0946918014170132
0,0.01,0.01,1,0.17473328450556
0,0.01,0.01,2,0.169831567727049
0,0.01,0.01,3,0.172942514546645
0,0.01,0.01,4,0.175574024751137
0,0.01,0.01,5,0.173526013281575
0,0.01,0.02,1,0.190587331379929
0,0.01,0.02,2,0.186259885872178
0,0.01,0.02,3,0.183760196857619
0,0.01,0.02,4,0.189862631903398
0,0.01,0.02,5,0.178592447885954
0,0.01,0.05,1,0.198282223261691
0,0.01,0.05,2,0.20031050509385
0,0.01,0.05,3,0.200654524835685
0,0.01,0.05,4,0.200876524185114
0,0.01,0.05,5,0.197599820462713
0,0.01,0.1,1,0.213142122355269
0,0.01,0.1,2,0.209118228242774
0,0.01,0.1,3,0.200991596283747
0,0.01,0.1,4,0.208707021066268
0,0.01,0.1,5,0.205866822934192
0,0.01,0.2,1,0.221441543000106
0,0.01,0.2,2,0.224008084021735
0,0.01,0.2,3,0.222206729223909
