Time,Signal1,Signal2,Replicate,Expression
0,0,0,1,0.0391374182778213
0,0,0,2,0.0401412363016114
0,0,0,3,0.036971739797707
0,0,0,4,0.0393887225989627
0,0,0,5,0.0389678961036733
0,0,0.01,1,0.0396357884306014
0,0,0.01,2,0.0403473072263212
0,0,0.01,3,0.0409791513810083
0,0,0.01,4,0.0436130865685027
0,0,0.01,5,0.0429545891032271
0,0,0.02,1,0.0414910173509394
0,0,0.02,2,0.0452305820346309
0,0,0.02,3,0.0432609195428131
0,0,0.02,4,0.0425884859539946
0,0,0.02,5,0.0432518270858433
0,0,0.05,1,0.0480574364212064
0,0,0.05,2,0.0481354378580231
0,0,0.05,3,0.0496929648050925
0,0,0.05,4,0.0496151164263036
0,0,0.05,5,0.0496229896792186
0,0,0.1,1,0.0577208915755345
0,0,0.1,2,0.0555805041561638
0,0,0.1,3,0.0577729966313196
0,0,0.1,4,0.0588130089246686
0,0,0.1,5,0.0575128845196869
0,0,0.2,1,0.0737543228735506
0,0,0.2,2,0.0733094850549995
0,0,0.2,3,0.0718204783366779
0,0,0.2,4,0.072683702320385
0,0,0.2,5,0.0711212396804454
0,0,0.5,1,0.108162000750216
0,0,0.5,2,0.103835669687387
0,0,0.5,3,0.104001881067552
0,0,0.5,4,0.104553169206159
0,0,0.5,5,0.100015736566
0,0,1,1,0.144825249605261
0,0,1,2,0.141691053252839
0,0,1,3,0.1386499683195
0,0,1,4,0.144633564782078
0,0,1,5,0.135956685414449
0,0,2,1,0.175415320549658
0,0,2,2,0.174925947480757
0,0,2,3,0.176896923081522
0,0,2,4,0.176874606217778
0,0,2,5,0.172734272281387
0,0,5,1,0.211155424025543
0,0,5,2,0.21058568949986
0,0,5,3,0.213934880403939
0,0,5,4,0.215902166342919
0,0,5,5,0.215969808949867
0,0.01,0,1,0.094954498057974
0,0.01,0,2,0.0967729749901947
0,0.01,0,3,0.094277236597506
0,0.01,0,4,0.0944716745444389
0,0.01,0,5,0.0966102447784508
0,0.01,0.01,1,1.02620196367927
0,0.01,0.01,2,0.980354878252163
0,0.01,0.01,3,1.00307722585968
0,0.01,0.01,4,0.991189518598381
0,0.01,0.01,5,1.01793234566004
0,0.01,0.02,1,1.07816214732284
0,0.01,0.02,2,1.10288647751551
0,0.01,0.02,3,1.11434836197919
0,0.01,0.02,4,1.1264299659768
0,0.01,0.02,5,1.13620844456055
0,0.01,0.05,1,1.18511771527318
0,0.01,0.05,2,1.14779089380878
0,0.01,0.05,3,1.16552032448042
0,0.01,0.05,4,1.15796562294267
0,0.01,0.05,5,1.23870022689308
0,0.01,0.1,1,1.20445273348485
0,0.01,0.1,2,1.23771195215383
0,0.01,0.1,3,1.21477389537482
0,0.01,0.1,4,1.24113947451638
0,0.01,0.1,5,1.20081268942913
0,0.01,0.2,1,1.21411840881901
0,0.01,0.2,2,1.21361607620786
0,0.01,0.2,3,1.2613478932856
0,0.01,0.2,4,1.24471996356924
0,0.01,0.2,5,1.24425332232363
0,0.01,0.5,1,1.32865039413906
0,0.01,0.5,2,1.29951049916092
0,0.01,0.5,3,1.29708744138548
0,0.01,0.5,4,1.33300148383583
0,0.01,0.5,5,1.27118908257389
0,0.01,1,1,1.34796790607222
0,0.01,1,2,1.35164950602602
0,0.01,1,3,1.32296530368576
0,0.01,1,4,1.33517985543079
0,0.01,1,5,1.29844690566625
0,0.01,2,1,1.33457379525292
0,0.01,2,2,1.36879939765437
0,0.01,2,3,1.38566539005411
0,0.01,2,4,1.43656658478644
0,0.01,2,5,1.34771578049222
0,0.01,5,1,1.40759172216159
0,0.01,5,2,1.4000239941708
0,0.01,5,3,1.34812267695663
0,0.01,5,4,1.39002611932734
0,0.01,5,5,1.35200277922088
0,0.02,0,1,0.152536325075087
0,0.02,0,2,0.147350585539693
0,0.02,0,3,0.15031525568129
0,0.02,0,4,0.148381197685324
0,0.02,0,5,0.150925600379632
0,0.02,0.01,1,1.03647746025688
0,0.02,0.01,2,1.0593533799443
0,0.02,0.01,3,1.06458611090925
0,0.02,0.01,4,1.08499110185025
0,0.02,0.01,5,1.04500019435259
0,0.02,0.02,1,1.10614029971201
0,0.02,0.02,2,1.13615635950483
0,0.02,0.02,3,1.18686657513248
0,0.02,0.02,4,1.13078146641735
0,0.02,0.02,5,1.17776906966784
0,0.02,0.05,1,1.23954359768195
0,0.02,0.05,2,1.27200472106697
0,0.02,0.05,3,1.18798379384314
0,0.02,0.05,4,1.23158692404408
0,0.02,0.05,5,1.20660646909362
0,0.02,0.1,1,1.34688796608489
0,0.02,0.1,2,1.29386605639182
0,0.02,0.1,3,1.30796304080614
0,0.02,0.1,4,1.2459200507138
0,0.02,0.1,5,1.26092869681641
0,0.02,0.2,1,1.29544473685947
0,0.02,0.2,2,1.33115769970222
0,0.02,0.2,3,1.29530399649696
0,0.02,0.2,4,1.32081855367372
0,0.02,0.2,5,1.24909122730107
0,0.02,0.5,1,1.33584639849156
0,0.02,0.5,2,1.32320703273378
0,0.02,0.5,3,1.30293313736424
0,0.02,0.5,4,1.3590358170672
0,0.02,0.5,5,1.35295500894738
0,0.02,1,1,1.38376283393201
0,0.02,1,2,1.3459517084269
0,0.02,1,3,1.41401964791223
0,0.02,1,4,1.39252170974673
0,0.02,1,5,1.37456569882401
0,0.02,2,1,1.41997558593838
0,0.02,2,2,1.41188868672425
0,0.02,2,3,1.36964339220252
0,0.02,2,4,1.41121718844366
0,0.02,2,5,1.39572622526984
0,0.02,5,1,1.42721997791123
0,0.02,5,2,1.42206100913165
0,0.02,5,3,1.44019486851416
0,0.02,5,4,1.39742325657308
0,0.02,5,5,1.48380229915572
0,0.05,0,1,0.290837347784223
0,0.05,0,2,0.287728132404554
0,0.05,0,3,0.287643257541422
0,0.05,0,4,0.283248507235373
0,0.05,0,5,0.293707867431155
0,0.05,0.01,1,1.18373935216081
0,0.05,0.01,2,1.16994013220895
0,0.05,0.01,3,1.21898091373947
0,0.05,0.01,4,1.18156605029714
0,0.05,0.01,5,1.17291928230532
0,0.05,0.02,1,1.28578999833506
0,0.05,0.02,2,1.27145478501628
0,0.05,0.02,3,1.26441352343392
0,0.05,0.02,4,1.35873074200991
0,0.05,0.02,5,1.3362127895646
0,0.05,0.05,1,1.38275732714126
0,0.05,0.05,2,1.33975112319149
0,0.05,0.05,3,1.35051605850601
0,0.05,0.05,4,1.36945215660139
0,0.05,0.05,5,1.39605732009711
0,0.05,0.1,1,1.37310598329886
0,0.05,0.1,2,1.34495254745366
0,0.05,0.1,3,1.36980235592365
0,0.05,0.1,4,1.42009639114027
0,0.05,0.1,5,1.42172835182635
0,0.05,0.2,1,1.45338300231497
0,0.05,0.2,2,1.43661811559461
0,0.05,0.2,3,1.44566289101609
0,0.05,0.2,4,1.4266545384392
0,0.05,0.2,5,1.46520390450828
0,0.05,0.5,1,1.44280285039909
0,0.05,0.5,2,1.49669400833487
0,0.05,0.5,3,1.45801999958561
0,0.05,0.5,4,1.47326198785731
0,0.05,0.5,5,1.49959376901925
0,0.05,1,1,1.55226755597541
0,0.05,1,2,1.48667428357139
0,0.05,1,3,1.55900617337179
0,0.05,1,4,1.54074250877189
0,0.05,1,5,1.51860135651761
0,0.05,2,1,1.55107451673051
0,0.05,2,2,1.55037737400576
0,0.05,2,3,1.5477146005509
0,0.05,2,4,1.55787201918102
0,0.05,2,5,1.55875164728492
0,0.05,5,1,1.61988521771446
0,0.05,5,2,1.64222415166952
0,0.05,5,3,1.60843874559904
0,0.05,5,4,1.58687383836551
0,0.05,5,5,1.61348318168804
0,0.1,0,1,0.464676961318242
0,0.1,0,2,0.453445106143666
0,0.1,0,3,0.471769769966026
0,0.1,0,4,0.465823621564342
0,0.1,0,5,0.464232015712333
0,0.1,0.01,1,1.37607429977413
0,0.1,0.01,2,1.36915950193829
0,0.1,0.01,3,1.33639179283219
0,0.1,0.01,4,1.35761638840207
0,0.1,0.01,5,1.35805995093792
0,0.1,0.02,1,1.45290022180736
0,0.1,0.02,2,1.51792991520489
0,0.1,0.02,3,1.44280504858911
0,0.1,0.02,4,1.4543157726656
0,0.1,0.02,5,1.44761372993416
0,0.1,0.05,1,1.51305384571772
0,0.1,0.05,2,1.54348403053265
0,0.1,0.05,3,1.54094819281252
0,0.1,0.05,4,1.59685645866793
0,0.1,0.05,5,1.541724323068
0,0.1,0.1,1,1.55207062573763
0,0.1,0.1,2,1.63667973572564
0,0.1,0.1,3,1.62498339290875
0,0.1,0.1,4,1.57854078180478
0,0.1,0.1,5,1.53805364748116
0,0.1,0.2,1,1.60114220214342
0,0.1,0.2,2,1.61046971937209
0,0.1,0.2,3,1.62442801036877
0,0.1,0.2,4,1.60706995958521
0,0.1,0.2,5,1.62983523453554
0,0.1,0.5,1,1.67133078803874
0,0.1,0.5,2,1.61685212507365
