Time,Signal1,Signal2,Replicate,Expression
0,0,0,1,2.76446434323933
0,0,0,2,2.71647906169842
0,0,0,3,2.88198563193192
0,0,0,4,2.77900324762446
0,0,0,5,2.8442628604865
0,0,0.01,1,2.81013304543793
0,0,0.01,2,2.79292837740034
0,0,0.01,3,2.7880762311777
0,0,0.01,4,2.87873591929974
0,0,0.01,5,2.87493416318677
0,0,0.02,1,2.88910429740114
0,0,0.02,2,2.82262837526729
0,0,0.02,3,2.85785127811274
0,0,0.02,4,2.93902006624603
0,0,0.02,5,2.9812877875775
0,0,0.05,1,3.31468487016683
0,0,0.05,2,3.24735993249773
0,0,0.05,3,3.25110432378843
0,0,0.05,4,3.19149959171004
0,0,0.05,5,3.15765752782721
0,0,0.1,1,3.48325456386126
0,0,0.1,2,3.65202462129643
0,0,0.1,3,3.52885915044933
0,0,0.1,4,3.43361527875312
0,0,0.1,5,3.71186098434693
0,0,0.2,1,4.3902661064309
0,0,0.2,2,4.43273471808725
0,0,0.2,3,4.29622426380096
0,0,0.2,4,4.37845114885221
0,0,0.2,5,4.40852054587988
0,0,0.5,1,6.55476378370746
0,0,0.5,2,6.35696750468052
0,0,0.5,3,6.18447738120018
0,0,0.5,4,6.23664883460366
0,0,0.5,5,6.13333541250407
0,0,1,1,8.62279016929642
0,0,1,2,8.37278391753609
0,0,1,3,8.66472635012081
0,0,1,4,8.38983833735826
0,0,1,5,8.42109592554346
0,0,2,1,10.7271767502937
0,0,2,2,10.7881920216657
0,0,2,3,11.20864648946
0,0,2,4,11.1903577674421
0,0,2,5,10.949384940488
0,0,5,1,14.2785914111041
0,0,5,2,14.0258203215169
0,0,5,3,13.5715421568825
0,0,5,4,13.6933006305481
0,0,5,5,13.7350807566761
0,0.01,0,1,17.6570556499923
0,0.01,0,2,17.8586096497302
0,0.01,0,3,17.8517434017475
0,0.01,0,4,17.5545828596829
0,0.01,0,5,17.8980576567751
0,0.01,0.01,1,74.9497148128986
0,0.01,0.01,2,77.0116558864684
0,0.01,0.01,3,73.6610354410174
0,0.01,0.01,4,76.2899568850454
0,0.01,0.01,5,77.922901325674
0,0.01,0.02,1,79.6426617858819
0,0.01,0.02,2,81.6238491188301
0,0.01,0.02,3,79.0050835722772
0,0.01,0.02,4,79.7207027123513
0,0.01,0.02,5,78.6992563891609
0,0.01,0.05,1,81.0457261920789
0,0.01,0.05,2,82.610171151975
0,0.01,0.05,3,82.11620984013
0,0.01,0.05,4,78.9955977596904
0,0.01,0.05,5,81.3375292637443
0,0.01,0.1,1,83.3750039444313
0,0.01,0.1,2,81.7187863238333
0,0.01,0.1,3,80.8569355702777
0,0.01,0.1,4,82.8920401628172
0,0.01,0.1,5,83.6942187918863
0,0.01,0.2,1,85.2847036499284
0,0.01,0.2,2,87.7701229456035
0,0.01,0.2,3,85.481287997207
0,0.01,0.2,4,84.4290910289933
0,0.01,0.2,5,84.5766546314426
0,0.01,0.5,1,87.096057024963
0,0.01,0.5,2,86.7355350687829
0,0.01,0.5,3,85.2239510526235
0,0.01,0.5,4,82.703658553164
0,0.01,0.5,5,85.7245518972305
0,0.01,1,1,85.3138899058556
0,0.01,1,2,87.6014597834628
0,0.01,1,3,87.0267460291577
0,0.01,1,4,87.6191510731104
0,0.01,1,5,90.7296564235322
0,0.01,2,1,92.6443236465267
0,0.01,2,2,94.0478396864767
0,0.01,2,3,89.7301542609991
0,0.01,2,4,87.230625934916
0,0.01,2,5,92.8275469442487
0,0.01,5,1,94.3803959558564
0,0.01,5,2,93.826027841802
0,0.01,5,3,91.1022286109884
0,0.01,5,4,93.6327892602437
0,0.01,5,5,91.8470587965594
0,0.02,0,1,28.5476862793913
0,0.02,0,2,28.2280087148298
0,0.02,0,3,28.3529218630689
0,0.02,0,4,29.5955546254941
0,0.02,0,5,29.7950386683792
0,0.02,0.01,1,89.2257598448683
0,0.02,0.01,2,89.2429841188066
0,0.02,0.01,3,91.4526092417966
0,0.02,0.01,4,91.6402696716826
0,0.02,0.01,5,87.3431556428015
0,0.02,0.02,1,91.7560727390674
0,0.02,0.02,2,91.0781675806577
0,0.02,0.02,3,94.0729133728647
0,0.02,0.02,4,95.6064665811744
0,0.02,0.02,5,92.5092532120132
0,0.02,0.05,1,96.5277354916873
0,0.02,0.05,2,93.9539170325539
0,0.02,0.05,3,94.5125081704349
0,0.02,0.05,4,97.8064880673803
0,0.02,0.05,5,95.7488176040239
0,0.02,0.1,1,97.5194982871821
0,0.02,0.1,2,98.1442010609871
0,0.02,0.1,3,94.393831286722
0,0.02,0.1,4,98.0713884131888
0,0.02,0.1,5,94.986843383203
0,0.02,0.2,1,99.4663378144258
0,0.02,0.2,2,99.2935886413497
0,0.02,0.2,3,100.181253395795
0,0.02,0.2,4,98.4065028742978
0,0.02,0.2,5,99.0493939729959
0,0.02,0.5,1,98.7658538194182
0,0.02,0.5,2,96.6880216330788
0,0.02,0.5,3,98.6131603298107
0,0.02,0.5,4,101.003150844999
0,0.02,0.5,5,98.7175041661411
0,0.02,1,1,102.113379888462
0,0.02,1,2,104.049924560006
0,0.02,1,3,105.0667376226
0,0.02,1,4,101.705142387338
0,0.02,1,5,100.167417362687
0,0.02,2,1,102.941612483131
0,0.02,2,2,108.357168884996
0,0.02,2,3,100.562921897905
0,0.02,2,4,104.857126734449
0,0.02,2,5,103.747249784491
0,0.02,5,1,107.236386549817
0,0.02,5,2,103.60956861769
0,0.02,5,3,104.278846042006
0,0.02,5,4,110.831476202149
0,0.02,5,5,103.658889419372
0,0.05,0,1,49.9841062330264
0,0.05,0,2,48.2093993296474
0,0.05,0,3,48.2775351863221
0,0.05,0,4,48.1563369613443
0,0.05,0,5,47.6175133539161
0,0.05,0.01,1,113.426388782394
0,0.05,0.01,2,111.094730050641
0,0.05,0.01,3,112.710999399825
0,0.05,0.01,4,114.005813079727
0,0.05,0.01,5,112.618527684838
0,0.05,0.02,1,114.887204614791
0,0.05,0.02,2,117.949157858467
0,0.05,0.02,3,112.253224243367
0,0.05,0.02,4,112.714002019731
0,0.05,0.02,5,114.536631243972
0,0.05,0.05,1,112.846000134833
0,0.05,0.05,2,118.562138654306
0,0.05,0.05,3,115.807941587572
0,0.05,0.05,4,116.373712349903
0,0.05,0.05,5,115.830956413726
0,0.05,0.1,1,122.97094895577
0,0.05,0.1,2,116.831372670335
0,0.05,0.1,3,118.231874597237
0,0.05,0.1,4,117.089202344609
0,0.05,0.1,5,118.654634735527
0,0.05,0.2,1,119.495872996448
0,0.05,0.2,2,121.147844409577
0,0.05,0.2,3,116.543937886988
0,0.05,0.2,4,118.557642935795
0,0.05,0.2,5,115.048854666538
0,0.05,0.5,1,122.111104985264
0,0.05,0.5,2,123.747186844503
0,0.05,0.5,3,122.461502941269
0,0.05,0.5,4,119.435296817208
0,0.05,0.5,5,122.716611502517
0,0.05,1,1,122.392000496606
0,0.05,1,2,123.306194797918
0,0.05,1,3,124.90717300282
0,0.05,1,4,119.672682697526
0,0.05,1,5,121.500440040505
0,0.05,2,1,125.138214265315
0,0.05,2,2,126.935358354962
0,0.05,2,3,125.695445433584
0,0.05,2,4,125.866017529529
0,0.05,2,5,125.045685639582
0,0.05,5,1,134.005010838675
0,0.05,5,2,130.100855455881
0,0.05,5,3,126.7637963139
0,0.05,5,4,130.353791136366
0,0.05,5,5,123.751110707451
0,0.1,0,1,65.3878989767682
0,0.1,0,2,61.4458095666513
0,0.1,0,3,64.9858375547477
0,0.1,0,4,62.0627507317911
0,0.1,0,5,63.9380817181784
0,0.1,0.01,1,124.821275274928
0,0.1,0.01,2,128.7714829362
0,0.1,0.01,3,126.463319521256
0,0.1,0.01,4,127.047671148075
0,0.1,0.01,5,132.616011664642
0,0.1,0.02,1,128.665070925377
0,0.1,0.02,2,133.550006641415
0,0.1,0.02,3,129.306603417554
0,0.1,0.02,4,130.268301667395
0,0.1,0.02,5,134.656037191872
0,0.1,0.05,1,134.831299477912
0,0.1,0.05,2,134.736621151728
0,0.1,0.05,3,136.636994133847
0,0.1,0.05,4,131.983066403205
0,0.1,0.05,5,133.108872443299
0,0.1,0.1,1,135.724837915417
0,0.1,0.1,2,135.264782073304
0,0.1,0.1,3,137.127097086769
0,0.1,0.1,4,129.918455184011
0,0.1,0.1,5,132.213224341625
0,0.1,0.2,1,132.35115572489
0,0.1,0.2,2,131.57603934951
0,0.1,0.2,3,137.373114239207
0,0.1,0.2,4,134.574085334902
0,0.1,0.2,5,132.907801562471
0,0.1,0.5,1,137.31100572914
0,0.1,0.5,2,133.06836743544
0,0.1,0.5,3,134.489176952995
0,0.1,0.5,4,138.723455640815
0,0.1,0.5,5,133.091648214152
0,0.1,1,1,144.311111293426
0,0.1,1,2,136.413372723489
0,0.1,1,3,139.943251989069
0,0.1,1,4,138.066570263189
0,0.1,1,5,139.621486409029
0,0.1,2,1,143.834627437138
0,0.1,2,2,146.149726048421
0,0.1,2,3,146.126642632799
0,0.1,2,4,141.443079707496
0,0.1,2,5,142.146996701006
0,0.1,5,1,146.378512396522
0,0.1,5,2,150.501208776302
0,0.1,5,3,148.287070614244
0,0.1,5,4,140.891917884474
0,0.1,5,5,143.52961501948
0,0.2,0,1,75.2199250872206
0,0.2,0,2,75.504575284584
0,0.2,0,3,78.0543587386854
0,0.2,0,4,76.2292920378458
0,0.2,0,5,79.4142888691403
0,0.2,0.01,1,142.724373117391
0,0.2,0.01,2,142.146233483097
0,0.2,0.01,3,147.157601621266
0,0.2,0.01,4,140.136921513483
0,0.2,0.01,5,142.280765841251
0,0.2,0.02,1,146.154527444587
0,0.2,0.02,2,142.529159368221
0,0.2,0.02,3,144.92579599047
0,0.2,0.02,4,140.292180481731
0,0.2,0.02,5,147.37116615207
0,0.2,0.05,1,152.196669210929
0,0.2,0.05,2,147.533089478153
0,0.2,0.05,3,140.212305597241
0,0.2,0.05,4,152.147563685768
0,0.2,0.05,5,142.8760098192
0,0.2,0.1,1,143.986123051615
0,0.2,0.1,2,145.191234958437
0,0.2,0.1,3,146.941783963864
0,0.2,0.1,4,143.634104345286
0,0.2,0.1,5,156.745691301143
0,0.2,0.2,1,146.082941182625
0,0.2,0.2,2,151.49072102467
0,0.2,0.2,3,150.895773060539
0,0.2,0.2,4,146.336804378328
0,0.2,0.2,5,146.1180130058
0,0.2,0.5,1,156.021752193104
0,0.2,0.5,2,153.132832275756
0,0.2,0.5,3,147.619743052263
0,0.2,0.5,4,150.098854386126
0,0.2,0.5,5,150.603551541654
0,0.2,1,1,155.133804004346
0,0.2,1,2,156.173066214031
0,0.2,1,3,156.252595201996
0,0.2,1,4,156.167282786175
0,0.2,1,5,154.092160732526
0,0.2,2,1,160.982727410892
0,0.2,2,2,153.121224597526
0,0.2,2,3,162.226450103257
0,0.2,2,4,157.857310949784
0,0.2,2,5,160.285203622849
0,0.2,5,1,158.046754418546
0,0.2,5,2,156.292551342628
0,0.2,5,3,160.459344651107
0,0.2,5,4,160.262459713973
0,0.2,5,5,160.30516499466
0,0.5,0,1,87.8437204356351
0,0.5,0,2,88.6737663803445
0,0.5,0,3,88.3583962092452
0,0.5,0,4,86.1369688310166
0,0.5,0,5,85.0920334537277
0,0.5,0.01,1,153.356463613483
0,0.5,0.01,2,152.486741554638
0,0.5,0.01,3,153.468968379543
0,0.5,0.01,4,147.453053965257
0,0.5,0.01,5,149.997491554877
0,0.5,0.02,1,155.739698061618
0,0.5,0.02,2,159.291933995041
0,0.5,0.02,3,151.403614714259
0,0.5,0.02,4,155.526328583163
0,0.5,0.02,5,155.800108788989
0,0.5,0.05,1,158.267913005169
0,0.5,0.05,2,154.817605503397
0,0.5,0.05,3,154.798336332373
0,0.5,0.05,4,155.642653705998
0,0.5,0.05,5,157.585158013061
0,0.5,0.1,1,160.020243354066
0,0.5,0.1,2,165.033276538761
0,0.5,0.1,3,153.411478955752
0,0.5,0.1,4,161.619455169841
0,0.5,0.1,5,161.784559022822
0,0.5,0.2,1,159.277663887234
0,0.5,0.2,2,156.574188806153
0,0.5,0.2,3,158.493019408418
0,0.5,0.2,4,158.526048831904
0,0.5,0.2,5,161.444917254089
0,0.5,0.5,1,162.47635252948
0,0.5,0.5,2,164.00322643032
0,0.5,0.5,3,161.428331213088
0,0.5,0.5,4,163.581243309097
0,0.5,0.5,5,161.371476413253
0,0.5,1,1,169.799751312514
0,0.5,1,2,161.61212543978
0,0.5,1,3,166.325968403119
0,0.5,1,4,171.317568695735
0,0.5,1,5,162.017244881803
0,0.5,2,1,166.720043337046
0,0.5,2,2,169.04614877101
0,0.5,2,3,166.785848615145
0,0.5,2,4,169.661519031979
0,0.5,2,5,167.471029630911
0,0.5,5,1,174.12653088373
0,0.5,5,2,168.759386115199
0,0.5,5,3,163.633911345491
0,0.5,5,4,172.168145265273
0,0.5,5,5,168.271437920808
0,1,0,1,91.778022669992
0,1,0,2,92.8489776827526
0,1,0,3,88.1345638050512
0,1,0,4,91.0327295770123
0,1,0,5,92.7689298110563
0,1,0.01,1,149.108922736047
0,1,0.01,2,152.745364205817
0,1,0.01,3,153.683966464454
0,1,0.01,4,154.718742021397
0,1,0.01,5,158.313232219272
0,1,0.02,1,155.160498343007
0,1,0.02,2,158.992845078288
0,1,0.02,3,161.412695068945
0,1,0.02,4,160.893273713486
0,1,0.02,5,159.597509256188
0,1,0.05,1,163.444586946344
0,1,0.05,2,166.740022509
0,1,0.05,3,162.052449430121
0,1,0.05,4,166.90172501
0,1,0.05,5,167.464869405814
0,1,0.1,1,161.189009201944
0,1,0.1,2,161.478158103301
0,1,0.1,3,164.7331036914
0,1,0.1,4,160.309476810028
0,1,0.1,5,157.367491308478
0,1,0.2,1,164.768432177978
0,1,0.2,2,165.304965721747
0,1,0.2,3,164.524160984947
0,1,0.2,4,160.724782377964
0,1,0.2,5,162.592342292397
0,1,0.5,1,169.385518509353
0,1,0.5,2,166.562985724117
0,1,0.5,3,165.324046483857
0,1,0.5,4,164.060085311941
0,1,0.5,5,164.760055382039
0,1,1,1,168.301732288676
0,1,1,2,169.224720753944
0,1,1,3,165.839787193042
0,1,1,4,164.851831103912
0,1,1,5,168.34912617282
0,1,2,1,171.320481564969
0,1,2,2,170.880369917307
0,1,2,3,168.660692049869
0,1,2,4,165.094338335359
0,1,2,5,170.177167926556
0,1,5,1,176.780043878107
0,1,5,2,180.064274143048
0,1,5,3,175.566929784885
0,1,5,4,174.939186556939
0,1,5,5,175.379657288049
0,2,0,1,94.1593176177042
0,2,0,2,92.4295845989058
0,2,0,3,92.8108731956098
0,2,0,4,91.7993360363697
0,2,0,5,93.6824745941111
0,2,0.01,1,159.115661748968
0,2,0.01,2,161.197281371067
0,2,0.01,3,157.236634856927
0,2,0.01,4,155.492686995852
0,2,0.01,5,159.568404016443
0,2,0.02,1,157.048456520967
0,2,0.02,2,158.320670876913
0,2,0.02,3,156.502357328876
0,2,0.02,4,161.884397479246
0,2,0.02,5,162.751269649154
0,2,0.05,1,160.63861496021
0,2,0.05,2,163.179851366249
0,2,0.05,3,166.070211913267
0,2,0.05,4,164.708637703179
0,2,0.05,5,163.033899441231
0,2,0.1,1,165.264250418588
0,2,0.1,2,164.492568830875
0,2,0.1,3,160.821015333421
0,2,0.1,4,166.729054807875
0,2,0.1,5,167.617400541577
0,2,0.2,1,167.018714098757
0,2,0.2,2,167.345948310236
0,2,0.2,3,167.491246866705
0,2,0.2,4,167.315829341174
0,2,0.2,5,164.667266690877
0,2,0.5,1,169.613117762363
0,2,0.5,2,169.932384472142
0,2,0.5,3,172.899311489472
0,2,0.5,4,162.575737119007
0,2,0.5,5,163.110278904741
0,2,1,1,172.737465529785
0,2,1,2,174.36470551973
0,2,1,3,171.580043046187
0,2,1,4,166.41839886743
0,2,1,5,168.550115457612
0,2,2,1,176.572449300298
0,2,2,2,177.328842655258
0,2,2,3,175.51335642884
0,2,2,4,167.968875514843
0,2,2,5,174.630304600225
0,2,5,1,169.228725694271
0,2,5,2,176.867906177328
0,2,5,3,175.647890220018
0,2,5,4,178.742556863566
0,2,5,5,175.621037711766
0,5,0,1,93.3957077761111
0,5,0,2,94.7977552658807
0,5,0,3,95.1374416385126
0,5,0,4,92.5163007780645
0,5,0,5,95.9586727328701
0,5,0.01,1,157.14438256348
0,5,0.01,2,163.532640200502
0,5,0.01,3,161.522441902398
0,5,0.01,4,158.368467707194
0,5,0.01,5,156.399840701881
0,5,0.02,1,157.64091739926
0,5,0.02,2,166.04676694937
0,5,0.02,3,167.425215819109
0,5,0.02,4,163.999174667242
0,5,0.02,5,161.204248396704
0,5,0.05,1,166.957075278506
0,5,0.05,2,165.559586401232
0,5,0.05,3,166.285891689287
0,5,0.05,4,171.090052780968
0,5,0.05,5,164.709731427705
0,5,0.1,1,166.882469393681
0,5,0.1,2,162.580982640036
0,5,0.1,3,164.087149368814
0,5,0.1,4,169.913967311
0,5,0.1,5,164.662257643279
0,5,0.2,1,161.428634905741
0,5,0.2,2,169.500266502373
0,5,0.2,3,169.546297292327
0,5,0.2,4,169.351028258606
0,5,0.2,5,170.38728108302
0,5,0.5,1,167.43268386134
0,5,0.5,2,170.916530206135
0,5,0.5,3,168.844801910168
0,5,0.5,4,171.187930598031
0,5,0.5,5,166.730580523213
0,5,1,1,172.855935645762
0,5,1,2,171.225775509193
0,5,1,3,178.616558982559
0,5,1,4,171.532763357386
0,5,1,5,173.386618852902
0,5,2,1,176.104976611667
0,5,2,2,172.749035738556
0,5,2,3,178.632681071569
0,5,2,4,175.923301884326
0,5,2,5,178.087702970954
0,5,5,1,175.102667956446
0,5,5,2,174.636113831151
0,5,5,3,179.43359611457
0,5,5,4,179.938900219714
0,5,5,5,179.696913572864
1,0,0,1,46.2840525308792
1,0,0,2,45.4595417504987
1,0,0,3,45.2950590258696
1,0,0,4,44.4414363007468
1,0,0,5,45.4772939523241
1,0,0.01,1,47.4350923183324
1,0,0.01,2,48.0816969500103
1,0,0.01,3,46.222723329041
1,0,0.01,4,47.3576497877316
1,0,0.01,5,47.6027473263188
1,0,0.02,1,49.4604562459794
1,0,0.02,2,48.2704801761418
1,0,0.02,3,47.3524902779308
1,0,0.02,4,47.9935132369757
1,0,0.02,5,47.6332069448063
1,0,0.05,1,52.7514606398593
1,0,0.05,2,51.0384727906759
1,0,0.05,3,52.0738700706854
1,0,0.05,4,52.1460754686552
1,0,0.05,5,53.5813814951849
1,0,0.1,1,60.882225338066
1,0,0.1,2,60.3388133724382
1,0,0.1,3,58.9278335526437
1,0,0.1,4,59.017230842345
1,0,0.1,5,57.6668133226719
1,0,0.2,1,74.3591387232721
1,0,0.2,2,69.7696704085642
1,0,0.2,3,73.6432142461456
1,0,0.2,4,70.784882677978
1,0,0.2,5,72.5184846526269
1,0,0.5,1,102.877659740613
1,0,0.5,2,104.984338385552
1,0,0.5,3,106.246477558306
1,0,0.5,4,102.828702215159
1,0,0.5,5,106.105264315826
1,0,1,1,135.051591466179
1,0,1,2,135.284271768124
1,0,1,3,140.83830744858
1,0,1,4,140.543923507535
1,0,1,5,139.452469697767
1,0,2,1,174.71050635695
1,0,2,2,183.445624438469
1,0,2,3,185.064063784201
1,0,2,4,181.204737517511
1,0,2,5,180.035806771622
1,0,5,1,225.062196204348
1,0,5,2,228.872187695229
1,0,5,3,234.614174197223
1,0,5,4,230.250340455875
1,0,5,5,229.801075149412
1,0.01,0,1,296.323258742903
1,0.01,0,2,288.523990515402
1,0.01,0,3,290.73730583516
1,0.01,0,4,285.717887219928
1,0.01,0,5,283.697273872855
1,0.01,0.01,1,1251.783821349
1,0.01,0.01,2,1282.82231271914
1,0.01,0.01,3,1250.27510211255
1,0.01,0.01,4,1283.19568726071
1,0.01,0.01,5,1239.5563448221
1,0.01,0.02,1,1305.43201305234
1,0.01,0.02,2,1288.84695764769
1,0.01,0.02,3,1320.08805336774
1,0.01,0.02,4,1323.126458044
1,0.01,0.02,5,1294.0841367431
1,0.01,0.05,1,1319.39277876051
1,0.01,0.05,2,1264.77877369245
1,0.01,0.05,3,1302.79129437635
1,0.01,0.05,4,1365.67460264508
1,0.01,0.05,5,1396.49201560955
1,0.01,0.1,1,1370.84098505987
1,0.01,0.1,2,1360.68890829352
1,0.01,0.1,3,1374.21626144296
1,0.01,0.1,4,1314.5715676108
1,0.01,0.1,5,1388.40598454219
1,0.01,0.2,1,1382.66784557725
1,0.01,0.2,2,1354.49409350521
1,0.01,0.2,3,1377.73469108556
1,0.01,0.2,4,1379.41442006478
1,0.01,0.2,5,1380.41781665869
1,0.01,0.5,1,1438.65462118185
1,0.01,0.5,2,1415.22748554242
1,0.01,0.5,3,1415.0435807501
1,0.01,0.5,4,1452.53613733837
1,0.01,0.5,5,1347.59551966689
1,0.01,1,1,1459.85395527763
1,0.01,1,2,1406.85749174129
1,0.01,1,3,1454.95799616785
1,0.01,1,4,1493.74233820443
1,0.01,1,5,1399.26916529025
1,0.01,2,1,1493.90370850067
1,0.01,2,2,1467.53686610198
1,0.01,2,3,1515.39919960803
1,0.01,2,4,1500.01998645929
1,0.01,2,5,1454.6668027631
1,0.01,5,1,1558.96905596506
1,0.01,5,2,1564.75938339364
1,0.01,5,3,1510.85465361694
1,0.01,5,4,1522.04137124488
1,0.01,5,5,1583.23856217138
1,0.02,0,1,468.800927061735
1,0.02,0,2,480.538463295097
1,0.02,0,3,486.240486137308
1,0.02,0,4,480.955443003627
1,0.02,0,5,485.361756258828
1,0.02,0.01,1,1472.52397811888
1,0.02,0.01,2,1512.36927003761
1,0.02,0.01,3,1531.01829196687
1,0.02,0.01,4,1520.30264406008
1,0.02,0.01,5,1539.77571366474
1,0.02,0.02,1,1483.29741188481
1,0.02,0.02,2,1560.17030786706
1,0.02,0.02,3,1541.34346187699
1,0.02,0.02,4,1542.91843551713
1,0.02,0.02,5,1571.28602686593
1,0.02,0.05,1,1571.46527240293
1,0.02,0.05,2,1590.6941761851
1,0.02,0.05,3,1543.41242778238
1,0.02,0.05,4,1576.71244856564
1,0.02,0.05,5,1589.13046557964
1,0.02,0.1,1,1590.1652504149
1,0.02,0.1,2,1574.53552986627
1,0.02,0.1,3,1620.47694273785
1,0.02,0.1,4,1639.1951869268
1,0.02,0.1,5,1603.69372624063
1,0.02,0.2,1,1568.97151034774
1,0.02,0.2,2,1607.93855065354
1,0.02,0.2,3,1603.83923084071
1,0.02,0.2,4,1525.61889424861
1,0.02,0.2,5,1597.87975939869
1,0.02,0.5,1,1662.04566007597
1,0.02,0.5,2,1664.49182171109
1,0.02,0.5,3,1575.03373056234
1,0.02,0.5,4,1632.35510971457
1,0.02,0.5,5,1668.20045929971
1,0.02,1,1,1656.84412605192
1,0.02,1,2,1701.05363694537
1,0.02,1,3,1643.31524622745
1,0.02,1,4,1709.92130107133
1,0.02,1,5,1725.38283361058
1,0.02,2,1,1748.26354267268
1,0.02,2,2,1714.13784383662
1,0.02,2,3,1718.71308834993
1,0.02,2,4,1698.26372455825
1,0.02,2,5,1705.18890118458
